neighborhood,responseDow,gender,genderCount
Armatage,0,Male,5
Armatage,0,Other,3
Armatage,1,Female,1
Armatage,1,Male,3
Armatage,1,Other,8
Armatage,2,Female,4
Armatage,2,Male,1
Armatage,2,Other,5
Armatage,3,Female,1
Armatage,3,Other,3
Armatage,4,Female,1
Armatage,4,Male,2
Armatage,4,Other,7
Armatage,5,Female,2
Armatage,5,Male,9
Armatage,5,Other,5
Armatage,6,Female,2
Armatage,6,Male,6
Armatage,6,Other,5
Audubon Park,0,Female,16
Audubon Park,0,Male,50
Audubon Park,0,Other,7
Audubon Park,1,Female,23
Audubon Park,1,Male,51
Audubon Park,1,Other,8
Audubon Park,2,Female,17
Audubon Park,2,Male,71
Audubon Park,2,Other,13
Audubon Park,3,Female,26
Audubon Park,3,Male,63
Audubon Park,3,Other,6
Audubon Park,4,Female,39
Audubon Park,4,Male,78
Audubon Park,4,Other,13
Audubon Park,5,Female,30
Audubon Park,5,Male,78
Audubon Park,5,Other,7
Audubon Park,6,Female,19
Audubon Park,6,Male,48
Audubon Park,6,Other,8
Bancroft,0,Male,11
Bancroft,0,Other,1
Bancroft,1,Female,2
Bancroft,1,Male,8
Bancroft,1,Other,2
Bancroft,2,Male,11
Bancroft,2,Other,5
Bancroft,3,Male,13
Bancroft,3,Other,3
Bancroft,4,Female,2
Bancroft,4,Male,1
Bancroft,4,Other,3
Bancroft,5,Female,2
Bancroft,5,Male,6
Bancroft,5,Other,1
Bancroft,6,Female,2
Bancroft,6,Male,6
Bancroft,6,Other,6
Beltrami,0,Female,4
Beltrami,0,Male,15
Beltrami,0,Other,4
Beltrami,1,Female,6
Beltrami,1,Male,19
Beltrami,1,Other,6
Beltrami,2,Female,16
Beltrami,2,Male,13
Beltrami,2,Other,5
Beltrami,3,Female,11
Beltrami,3,Male,18
Beltrami,3,Other,3
Beltrami,4,Female,12
Beltrami,4,Male,19
Beltrami,4,Other,3
Beltrami,5,Female,15
Beltrami,5,Male,23
Beltrami,5,Other,8
Beltrami,6,Female,8
Beltrami,6,Male,14
Beltrami,6,Other,3
Bottineau,0,Female,8
Bottineau,0,Male,23
Bottineau,0,Other,3
Bottineau,1,Female,12
Bottineau,1,Male,28
Bottineau,1,Other,6
Bottineau,2,Female,10
Bottineau,2,Male,32
Bottineau,2,Other,2
Bottineau,3,Female,10
Bottineau,3,Male,26
Bottineau,3,Other,1
Bottineau,4,Female,7
Bottineau,4,Male,21
Bottineau,4,Other,1
Bottineau,5,Female,12
Bottineau,5,Male,24
Bottineau,5,Other,5
Bottineau,6,Female,10
Bottineau,6,Male,17
Bottineau,6,Other,1
Bryant,0,Female,1
Bryant,0,Male,5
Bryant,0,Other,3
Bryant,1,Female,1
Bryant,1,Male,5
Bryant,1,Other,3
