OBJECTID,responseDate,citationIssued,lat,lon,gender,neighborhood,responseDow,responseDay,responseMonth,responseMonthName,responseYear
60847,2018-01-01 02:29:04.000000,NO,45.00849126,-93.31460791,Other,Willard - Hay,1,01,01,Jan,2018
60848,2018-01-01 05:00:03.000000,YES,44.99982,-93.26767,Male,Sheridan,1,01,01,Jan,2018
60849,2018-01-01 06:04:47.000000,NO,44.97280959,-93.21658156,Male,Prospect Park - East River Road,1,01,01,Jan,2018
60850,2018-01-01 06:35:08.000000,NO,44.95081,-93.2766,Male,Whittier,1,01,01,Jan,2018
60851,2018-01-01 06:56:16.000000,NO,45.01406926,-93.25672309,Male,Holland,1,01,01,Jan,2018
60852,2018-01-01 07:47:48.000000,NO,45.033390000000004,-93.31236,Male,Victory,1,01,01,Jan,2018
60853,2018-01-01 08:54:25.000000,NO,44.94044075,-93.27791575,Female,Lyndale,1,01,01,Jan,2018
60854,2018-01-01 09:55:07.000000,YES,44.949259999999995,-93.29828,Male,Lowry Hill East,1,01,01,Jan,2018
60855,2018-01-01 09:59:08.000000,NO,44.990970000000004,-93.25843,Male,St. Anthony West,1,01,01,Jan,2018
60857,2018-01-01 11:41:09.000000,NO,45.01580716,-93.2892917,Other,McKinley,1,01,01,Jan,2018
60858,2018-01-01 11:51:28.000000,NO,44.98445,-93.28752,Male,North Loop,1,01,01,Jan,2018
60859,2018-01-01 12:37:50.000000,NO,45.03937578,-93.29144117,Other,Lind - Bohanon,1,01,01,Jan,2018
60860,2018-01-01 12:38:35.000000,NO,45.01316173,-93.25166879999999,Male,Holland,1,01,01,Jan,2018
60861,2018-01-01 12:44:03.000000,NO,44.93863463,-93.27791409999999,Male,Lyndale,1,01,01,Jan,2018
60862,2018-01-01 12:58:01.000000,NO,44.96717526,-93.24725864,Other,Cedar Riverside,1,01,01,Jan,2018
60863,2018-01-01 13:17:02.000000,NO,44.93141903,-93.27532639,Male,King Field,1,01,01,Jan,2018
60864,2018-01-01 13:42:49.000000,NO,44.98018,-93.26762,Male,Downtown West,1,01,01,Jan,2018
60865,2018-01-01 13:59:53.000000,NO,44.98974391,-93.25492789,Male,Nicollet Island - East Bank,1,01,01,Jan,2018
