neighborhood,totalPop,margin,stopCnt
Armatage,4915.0,262.0,73
Audubon Park,5007.0,237.0,671
Bancroft,3513.0,231.0,85
Beltrami,1142.0,144.0,225
Bottineau,1618.0,170.0,259
Bryant,3179.0,324.0,78
Bryn - Mawr,2798.0,124.0,116
CARAG,5723.0,262.0,405
Camden Industrial,,,36
Cedar - Isles - Dean,2901.0,270.0,83
Cedar Riverside,8576.0,760.0,523
Central,8737.0,451.0,500
Cleveland,2980.0,213.0,268
Columbia Park,1717.0,91.0,156
Como,7208.0,590.0,474
Cooper,3614.0,199.0,123
Corcoran,4239.0,306.0,282
Diamond Lake,5583.0,224.0,88
Downtown East,1711.0,123.0,303
Downtown West,7357.0,482.0,3500
ECCO,2497.0,197.0,222
East Harriet,3667.0,158.0,148
East Isles,3315.0,222.0,307
East Phillips,4743.0,631.0,968
Elliot Park,6616.0,446.0,417
Ericsson,3158.0,155.0,99
Field,2511.0,103.0,65
Folwell,5196.0,587.0,966
Fulton,6194.0,171.0,116
Hale,3341.0,151.0,48
Harrison,3826.0,644.0,308
Hawthorne,4553.0,360.0,1952
Hiawatha,5798.0,367.0,246
Holland,4946.0,570.0,1058
Howe,6624.0,233.0,223
Humboldt Industrial Area,,,6
Jordan,8483.0,631.0,1528
Keewaydin,3315.0,231.0,76
Kenny,3606.0,182.0,80
Kenwood,1470.0,136.0,39
King Field,7718.0,293.0,719
Lind - Bohanon,5475.0,395.0,338
Linden Hills,8108.0,294.0,176
Logan Park,2246.0,234.0,354
Longfellow,4613.0,282.0,472
Loring Park,8688.0,477.0,618
Lowry Hill,3854.0,232.0,117
Lowry Hill East,6236.0,507.0,1030
Lyndale,7436.0,587.0,1244
Lynnhurst,6025.0,172.0,167
Marcy Holmes,11750.0,722.0,1345
Marshall Terrace,1544.0,100.0,269
McKinley,3179.0,374.0,656
Mid - City Industrial,244.0,20.0,270
Midtown Phillips,5196.0,704.0,718
Minnehaha,4240.0,226.0,81
Morris Park,2922.0,167.0,72
Near - North,6946.0,351.0,1772
Nicollet Island - East Bank,1377.0,87.0,805
North Loop,5072.0,518.0,837
Northeast Park,614.0,78.0,286
Northrop,4602.0,175.0,147
Page,1909.0,92.0,33
Phillips West,5190.0,509.0,485
Powderhorn Park,9251.0,565.0,676
Prospect Park - East River Road,8052.0,433.0,240
Regina,2317.0,163.0,73
Seward,7376.0,428.0,445
Sheridan,2929.0,178.0,326
Shingle Creek,3226.0,375.0,115
St. Anthony East,2168.0,195.0,238
St. Anthony West,2542.0,153.0,441
Standish,6546.0,267.0,245
Steven's Square - Loring Heights,3963.0,306.0,450
Sumner - Glenwood,1767.0,176.0,186
Tangletown,4461.0,190.0,323
University of Minnesota,5962.0,353.0,51
Ventura Village,6028.0,484.0,693
Victory,4550.0,279.0,312
Waite Park,5558.0,245.0,395
Webber - Camden,5296.0,322.0,545
Wenonah,4464.0,223.0,98
West Calhoun,1938.0,146.0,41
Whittier,14828.0,781.0,1843
Willard - Hay,9345.0,538.0,1028
Windom,4844.0,240.0,463
Windom Park,5381.0,279.0,562
