OBJECTID,neighborhood,Response Month,Response Day,Response Year,citationIssued,policePrecinct,citationCnt
36603,Cedar Riverside,07,06,2017,YES,1,1
36615,Windom Park,07,06,2017,YES,2,1
36620,Holland,07,06,2017,YES,2,1
36626,Steven's Square - Loring Heights,07,06,2017,YES,5,1
36636,Near - North,07,06,2017,YES,4,1
36638,Cedar Riverside,07,06,2017,YES,1,1
36659,ECCO,07,06,2017,YES,5,1
36665,Willard - Hay,07,06,2017,YES,4,1
36677,Downtown West,07,06,2017,YES,1,1
36707,Near - North,07,06,2017,YES,4,1
36761,Bottineau,07,07,2017,YES,2,1
36771,Whittier,07,07,2017,YES,5,1
36773,Midtown Phillips,07,07,2017,YES,3,1
36775,Logan Park,07,07,2017,YES,2,1
36776,Northeast Park,07,07,2017,YES,2,1
36777,Northeast Park,07,07,2017,YES,2,1
36785,Hawthorne,07,07,2017,YES,4,1
36799,Folwell,07,07,2017,YES,4,1
36801,Jordan,07,07,2017,YES,4,1
36811,Near - North,07,07,2017,YES,4,1
36818,McKinley,07,07,2017,YES,4,1
36819,Ventura Village,07,07,2017,YES,3,1
36827,Jordan,07,07,2017,YES,4,1
36860,Near - North,07,07,2017,YES,4,1
36890,Hawthorne,07,07,2017,YES,4,1
36895,Hawthorne,07,07,2017,YES,4,1
36925,Near - North,07,08,2017,YES,4,1
36927,East Phillips,07,08,2017,YES,3,1
36956,Midtown Phillips,07,08,2017,YES,3,1
36960,Windom Park,07,08,2017,YES,2,1
36962,East Phillips,07,08,2017,YES,3,1
36964,Unknown,07,08,2017,YES,,1
36972,Phillips West,07,08,2017,YES,3,1
37019,McKinley,07,09,2017,YES,4,1
37022,Lowry Hill East,07,09,2017,YES,5,1
37036,Victory,07,09,2017,YES,4,1
37058,Northeast Park,07,09,2017,YES,2,1
37060,Steven's Square - Loring Heights,07,09,2017,YES,5,1
37072,Lowry Hill,07,09,2017,YES,5,1
37085,Downtown West,07,09,2017,YES,1,1
37086,Whittier,07,09,2017,YES,5,1
37092,Whittier,07,09,2017,YES,5,1
37118,East Isles,07,10,2017,YES,5,1
37134,North Loop,07,10,2017,YES,1,1
37139,North Loop,07,10,2017,YES,1,1
37144,North Loop,07,10,2017,YES,1,1
37149,North Loop,07,10,2017,YES,1,1
37153,Hawthorne,07,10,2017,YES,4,1
37167,Webber - Camden,07,10,2017,YES,4,1
37168,Near - North,07,10,2017,YES,4,1
37173,Nicollet Island - East Bank,07,10,2017,YES,2,1
37177,Webber - Camden,07,10,2017,YES,4,1
